date,user,text,retweets,favorites,mentions,hashtags,geolocation
2020-04-09 14:52:01+00:00,Boomer_Patriot,Dr. Fauci Reveals the One Practice Americans Should Continue After the Wuhan Coronavirus Pandemic Ends ,0,0,,,
2020-04-09 14:47:56+00:00,Marknovakusa,A picture from the 1918 to 1920 Spanish flu pandemic. Protect the whole family. #coronavirus #StayAtHome #lockdown,0,0,,#coronavirus #StayAtHome #StayAtHome #lockdown,
2020-04-09 14:46:12+00:00,aubreymalee,Took Facebook off of my phone. We shall see how this goes. #socialmedia #COVID,0,1,,#socialmedia #COVID,
2020-04-09 14:42:58+00:00,atnip_norma,"Open the Country up now except New York and keep in open. The evil media, Democrats and Coronavirus are our enemies. They are more dangerous than the virus. They hate America. They hate President Trump because he loves America and the real American people.",0,0,,,
2020-04-09 14:39:53+00:00,BlueSmokeDallas,"The Gimme Shelter COVID sampler, valued at $190, a steal at $140. Don Lino Africa by AJ robusto Oliva Melanio V Robusto Maduro Magnum Rosado R 58 Tennessee Waltz Cohiba Blue Tubo Ashton Monarch Tubo Guardian of the… https://www.instagram.com/p/B-w4fTwn6sv/?igshid=1fe5chagxt2zc",0,0,,,
2020-04-09 14:39:01+00:00,Boomer_Patriot,Fears of Authoritarianism Rise With COVID-19 Crackdowns ,0,0,,,
2020-04-09 14:38:35+00:00,Boomer_Patriot,@Pontifex Francis Says Coronavirus Is One of 'Nature's Responses' to Humans Ignoring Climate Change https://www.mrctv.org/blog/pope-francis-says-coronavirus-one-natures-responses-humans-ignoring-climate-change#.Xo8zAe443Bg.twitter I doubt nature had anything to do with it. It more likely came from a communist Chinese laboratory.,0,0,@Pontifex,,
2020-04-09 14:36:23+00:00,Boomer_Patriot,Store Looting Skyrockets in Major Cities As Coronavirus Shutdown Stretches On ,0,0,,,
2020-04-09 14:35:48+00:00,jennysingsalot,"@sproutsfm - I see what you and what your doing. In a time when so many choose to mark up prices due to demand, you are having a wicked awesome sale on produce and other groceries. #thankyou #COVID #businessdoneRIGHT #NOtoPRICEgouging",0,0,@sproutsfm,#thankyou #thankyou #COVID #businessdoneRIGHT #NOtoPRICEgouging,
2020-04-09 14:34:45+00:00,kunmuth,"It's a horror story': 28-year-old Lusia Garcia of Arlington, Texas, finally got to go home after battling Cornavirus. She was intubated and placed on a ventilator for three days as she fought off the novel coronavirus. ",0,1,,,
2020-04-09 14:33:07+00:00,Hectorson3,"And with this current COVID BS going on, our county judge is doing better than what the governor is doing. Almost all ideas that have come out of Greg Abbott's conferences have been Judge Clay Jenkins' ideas already implemented in my county.",0,1,,,
2020-04-09 14:31:37+00:00,Boomer_Patriot,IHME Again Lowers Coronavirus Death Projections https://www.breitbart.com/health/2020/04/08/ihme-model-lowers-u-s-coronavirus-death-projections-by-25-to-60415/ via @BreitbartNews,0,0,@BreitbartNews,,
2020-04-09 14:29:42+00:00,olaleyetod,Lagos has more good news on COVID-19 than the US,0,1,,,
2020-04-09 14:23:56+00:00,Boomer_Patriot,Dr. Fauci Makes It Clear: Coronavirus Death Toll 'Likely Less' Than We Originally Thought ,0,0,,,
2020-04-09 14:23:12+00:00,atnip_norma,Trump says let’s get back to work and open this country up. Let’s do it now. Don’t listen to the Libersl media and the Democrats!!! They are a bigger enemy than the Coronavirus. Open this country back up and keep it open. Shutdown is more dangerous than the virus. ,0,0,,,
2020-04-09 14:22:30+00:00,StevenDialFox4,Health officials: Dallas County coronavirus peak could be late April if social distancing continues https://fox4news.com/news/health-officials-dallas-county-coronavirus-peak-could-be-late-april-if-social-distancing-continues @FOX4 @DCHHS,1,2,@FOX4 @DCHHS,,
2020-04-09 14:16:04+00:00,jaysteeeezy,"so I got an email for forbearance on student debt due to Covid 19, and boy that’s crazyyyyy",0,1,,,
2020-04-09 14:14:23+00:00,Marknovakusa,FOX is libel for their lies about the #coronavirus and needs to be driven out of business for it. Check,0,3,,#coronavirus,
2020-04-09 14:14:21+00:00,LauraHarrisNBC5,"LIFTING HER VOICE TO LIFT SPIRITS This North Texas 11-year-old was living her dream performing on Broadway. But when the coronavirus pandemic hit America, her dream was cut short. But here’s how Skye Dakota Turner’s is still sending love: ",3,10,,,
2020-04-09 14:13:26+00:00,BethanyaWill,Are we not incorrectly counting deaths for #COVID if we really believe that national pneumonia deaths dropped somehow incredibly to zero when COVID started. Are we shutting down our economy with inaccurate information? #iwanttoknow #fromcdcwebsite,0,0,,#COVID #iwanttoknow #fromcdcwebsite,
2020-04-09 13:54:31+00:00,txsportsdoc,But docs asked to come Volunteer? All uninsured cases will be paid under CARE act if has a COVID Dx. The big systems using this crisis to crush smaller hospitals gaining more power. ,0,2,,,
2020-04-09 13:50:11+00:00,omarmuniz9,Pentagon refutes ABC report claiming US intelligence briefed White House in November of a ‘cataclysmic’ coronavirus ,0,0,,,
2020-04-09 13:48:36+00:00,txsportsdoc,"Based just on numbers, Flu dwarfs COVID and we face it every year and doesn’t overwhelm our healthcare system..however after exec orders and closed ORs, hospitals closings so next flu season May have less beds/access. Politicians creates that new issue.",0,1,,,
2020-04-09 13:46:03+00:00,kgoos2,"Over 330,000 people are reported to have recovered from COVID-19 ",1,7,,,
2020-04-09 13:44:05+00:00,omarmuniz9,What it's like to be a doctor or nurse on the Covid-19 frontlines ,0,0,,,
2020-04-09 13:43:32+00:00,joao_g_braga,Now a poem: Roses are red I love my wife While you were bitching in your twitter The hydroxychloroquine saved another life. The end. #COVID #Corona,0,4,,#COVID #Corona,
2020-04-09 13:41:25+00:00,david_lippman,Unemployment has gone up by more than 10% since the coronavirus pandemic first hit the U.S.: ,0,0,,,
2020-04-09 13:40:54+00:00,omarmuniz9,Husband of grandma who accidentally invited teenager to Thanksgiving dies of COVID-19 ,0,0,,,
2020-04-09 13:37:54+00:00,txsportsdoc,"You’d have to be a doc to probably have caught Dr Birx’ answer to COVID inflation, but she didn’t deny deaths were being recorded from other primary causes. A revealing question would be, “If you die in an auto accident and test pos for COVID, is that included”. It’s interesting",0,1,,,
2020-04-09 13:36:42+00:00,mancode1972,Valid points. Look at it this way. With the COVID-19 crises we are in right now. Ask yourself. Do you really want someone at the helm that doesn't know what state he's in. Half the time. Confused his sister for his wife. I'll stick with Trump.,0,0,,,
